Uniform,Normal,Exponential,Cauchy,Uniform,Normal,Exponential,Cauchy
96,107,94,114,"2,35360763223313",5,"1,75017052263846","6,7719788323058"
123,107,93,113,"9,08287305226113",5,"1,60815051308457","6,50119459606253"
92,107,91,108,"1,35899283176731",5,"1,02941069597183","5,24753494483557"
119,107,91,96,"8,06584636596951",5,"1,03858014334912","2,22380689251213"
92,107,93,113,"1,29013504862197",5,"1,50871927961994","6,4692009415646"
107,107,92,103,"5,08062447516174",5,"1,12834513508673","4,11041517522121"
94,107,91,113,"1,84791190691594",5,"1,07740414435007","6,4970761493693"
109,107,99,115,"5,51341289227898",5,"3,05533932526187","6,94638307182343"
103,107,104,121,"3,96975499724254","4,94571357432459","4,2767562358163","8,43905109059737"
103,107,92,127,"4,00861957617203",5,"1,25225817964667",10
106,107,98,91,"4,76976772447658",5,"2,68366855921045",1
93,107,91,107,"1,62147210586809",5,"1,10251967278302","4,98851412156907"
92,107,97,108,"1,34896467280162",5,"2,49235222375059","5,25480467464019"
93,107,96,103,"1,45466647587027",5,"2,22118488051709","4,11227311250498"
109,107,94,95,"5,41014997313944",5,"1,76917574052795","1,91744620461412"
100,100,106,121,"3,20398255927323","3,19503741101141","4,81039282559068","8,44868261814817"
94,99,91,108,"1,79670612140823","2,95185622743879","1,06890853747712","5,20754225515024"
109,107,92,110,"5,43422007071346",5,"1,33988317125071","5,66988610362226"
106,107,104,110,"4,66300861878262",5,"4,16910745583937","5,64804711436565"
125,107,91,107,"9,49098156839991",5,"1,08752971623307","4,97362539163544"
110,107,99,91,"5,67470042247248",5,"2,93698666745724",1
102,107,91,111,"3,84183145673786",5,"1,02557954147538","5,94171672334786"
121,107,93,108,"8,58926635976564",5,"1,55942580859962","5,30560480861855"
114,107,92,127,"6,70675455027818",5,"1,32663464128284",10
117,107,99,108,"7,48062666637255",5,"3,00136809319037","5,32776596655092"
97,107,93,117,"2,47343539897418",5,"1,4243243608053","7,5429599289712"
124,107,111,110,"9,18099234452203",5,"6,11376977456873","5,66784135936925"
125,107,120,109,"9,47663998526716",5,"8,35745469862997","5,37666090209515"
123,97,101,111,"9,11327160873342","2,39422900446192","3,38626381404734","6,09117253895599"
125,107,92,113,"9,61782374927163",5,"1,13477073486721","6,39228870152011"
106,107,98,110,"4,77879086979199",5,"2,71814620010898","5,77060961051085"
115,100,99,112,"7,11315757903215","3,2147443068197","2,90352695576037","6,32466197140259"
93,97,94,99,"1,41260265197277","2,62179638687866","1,73240203028549","3,09337603882783"
92,100,91,109,"1,13508914664462","3,20013084991503","1,02689981112876","5,42088705277541"
110,104,97,112,"5,85032195886036","4,36636987059845","2,59863674616963","6,16511485347185"
103,107,91,110,"3,96450571982511",5,"1,09037591780599","5,63790019059159"
102,99,92,91,"3,70593460978747","2,94726335542158","1,21258429347104",1
125,107,91,100,"9,38490333335316",5,"1,04180680482636","3,34137371920601"
108,107,93,106,"5,12752093238899",5,"1,41308815254238","4,72378267790188"
91,107,92,110,"1,08023266605753","4,94363869887603","1,34529485461238","5,63588907089003"
108,107,102,116,"5,18290086391152",5,"3,73883107085432","7,29347170626839"
101,107,95,103,"3,45867967891833",5,"2,0889567197238","4,00585893781492"
113,107,93,91,"6,61850080327142",5,"1,51433469493487",1
96,107,94,108,"2,26210929370893",5,"1,62820674525816","5,23076273125593"
123,107,98,113,"8,97186192471534",5,"2,82824604502261","6,41881768285904"
125,107,92,109,"9,50594481557927","4,96349800240922","1,21904002183613","5,51406558153092"
122,106,102,96,"8,70414523259881","4,80617545459111","3,83868801067461","2,35155621515069"
111,106,95,127,"5,93536328571893","4,86469706366724","2,07541970037418",10
111,98,91,105,"6,0177698745052","2,69602631636272","1,11800178351177","4,4889186893492"
114,102,98,91,"6,84110717137259","3,73329744164687","2,66209432133578",1
99,107,100,114,"3,07617146055657",5,"3,18179934799026","6,64223588094153"
104,107,94,102,"4,15863434800031",5,"1,82050275471211","3,7714959309401"
120,107,92,120,"8,31807806814197",5,"1,2826560032826","8,22829356874763"
107,105,97,114,"5,02959017413583","4,59249615304821","2,60353325975546","6,65742736984743"
100,107,91,127,"3,3656280518382",5,"1,12206789675307",10
121,107,93,109,"8,55052166728746",5,"1,59672194961017","5,52149129302381"
102,106,96,115,"3,75271805893478","4,83613011928732","2,1332411525265","6,90687966657023"
107,107,97,111,"4,96513422063563",5,"2,50534725150292","6,0938562137648"
107,107,92,103,"5,1024609856035",5,"1,14293055163561","4,01308617496277"
95,107,93,120,"1,93526843949078",5,"1,50484220676608","8,37357384639783"
121,106,101,112,"8,53470584725738","4,74319411495723","3,45670826066027","6,22872769547569"
114,107,91,111,"6,83925400047778",5,"1,12331338641138","6,02012953311009"
95,107,95,99,"1,89162827395352",5,"1,94750047593284","3,06829465436685"
103,107,93,114,"3,95352309375893",5,"1,45299978644543","6,76272684285285"
108,101,96,126,"5,21108256794484","3,56587765994682","2,17641054307187","9,73587604717493"
123,107,95,127,"9,05569457947518",5,"1,94890237941933",10
115,107,98,103,"7,09956461338317",5,"2,63156847659131","4,02333997663702"
105,107,100,91,"4,57703431286922",5,"3,12528738819282",1
115,103,102,111,"6,92888331747866","4,12477616382709","3,648810274533","5,96073992553291"
122,107,103,102,"8,74024049692509",5,"3,95067332216881","3,80336995422883"
102,107,97,121,"3,82954166185357",5,"2,44234246595204","8,5428998992603"
98,107,95,115,"2,68905524227362",5,"1,93280220481827","6,89924637555971"
97,96,94,127,"2,44949575939563","2,31002138999582","1,87011589683076",10
120,107,107,107,"8,36361062047198",5,"4,91953898317528","4,96400639514009"
92,107,94,110,"1,18421870912725",5,"1,77010819007705","5,68743384421403"
126,107,91,109,"9,82896861013814",5,"1,01119608915607","5,38206052787084"
116,107,93,112,"7,35317153153016",5,"1,53763073530104","6,36559990421773"
91,102,101,101,"1,09130386812718","3,68207586565786","3,39827035581033","3,39693745103828"
117,106,92,115,"7,48795156876751","4,63904573227647","1,21940875375147","6,98285493258068"
123,105,91,109,"9,12302697654066","4,48452340513387","1,01880933519317","5,44420430480661"
98,101,99,105,"2,68565911755697","3,59192316882515","2,9025980821875","4,53183621371278"
125,107,92,107,"9,45725360724896",5,"1,35909884228151","5,02473465774188"
123,97,92,119,"9,07900357874646","2,50660215108544","1,32368790914845","8,01640517213459"
91,102,95,112,"1,07848510623845","3,68449894792941","2,05913795072994","6,32943017058913"
116,107,92,98,"7,13804106546405",5,"1,33278990472124","2,72673046167259"
122,93,91,105,"8,87392824521613","1,463673273553","1,09819010806196","4,62379038214472"
122,107,93,108,"8,65705159542536",5,"1,58751410730683","5,20960688808623"
102,107,95,108,"3,67650976085872",5,"1,93438552323859","5,14983691818625"
107,107,92,102,"4,90851568815696",5,"1,21617121111209","3,76635015073076"
92,106,93,91,"1,19257101580401","4,70546995910747","1,46129441678988",1
115,107,92,105,"6,89654886620594",5,"1,2723042767991","4,52410621194524"
110,107,96,110,"5,69303877866457",5,"2,23749016916348","5,84336118489961"
116,107,95,127,"7,31796171769612",5,"1,95114067902496",10
107,99,94,107,"4,99667396207143","2,97105769085345","1,79866073753662","5,06653630673461"
102,92,99,111,"3,71141466745494","1,34319832608062","3,03964605713798","6,01733589218899"
124,102,93,110,"9,21202356980203","3,71177871663606","1,59887005153189","5,84929768067348"
92,107,91,102,"1,13449066417934",5,"1,06012203605243","3,68594785226427"
111,107,93,106,"6,08555209061071",5,"1,60977714914724","4,84661312074359"
127,104,96,112,"9,94619195374779","4,14469932204936","2,34036350211383","6,13951633162962"
123,102,92,106,"9,0395430351233","3,63459757144798","1,29200963520475","4,78333287502208"
97,101,98,111,"2,56651914252727","3,49484056887383","2,69752433036498","5,9090276639201"
95,105,91,110,"2,10247553514632","4,60355560566363","1,05516797994258","5,66666044810643"
103,104,92,97,"4,03506276749138","4,14260525894427","1,24885649081342","2,60221392820014"
120,107,94,91,"8,32951739211731",5,"1,65165836219691",1
117,97,95,107,"7,56074355977172","2,42942695015512","2,04585326749161","5,01580051699127"
118,107,94,127,"7,84457616639413",5,"1,71538550709833",10
117,106,92,91,"7,43012686530356","4,80637262860431","1,37035212334193",1
114,105,95,105,"6,65205382781707","4,40100258318633","1,96831928223723","4,54777501466294"
96,99,93,91,"2,19088592343583","2,97083505850937","1,41867969882936",1
113,107,91,103,"6,40733279937042",5,"1,04697735108652","4,0751905936185"
110,107,93,91,"5,69126577022358","4,99615189708162","1,53372999000276",1
99,105,94,107,"2,99039416357182","4,54844305973404","1,68838720378482","5,01586975748119"
96,106,95,121,"2,3683624448348","4,74005813363019","1,90257397159639","8,5031120559568"
106,107,92,109,"4,70358240587214",5,"1,1408762500741","5,43947016689866"
99,107,97,99,"3,11010923283355",5,"2,59215017135841","3,05864871835156"
103,107,91,111,"3,93845042869818",5,"1,07512487116371","5,94919726493086"
108,104,93,91,"5,16417310546274","4,34150338955387","1,49015267050682",1
97,107,99,97,"2,55749548285517",5,"3,0395881752426","2,50608562079533"
125,103,92,113,"9,52946043556737","4,06734605046772","1,35519663153672","6,54233132473035"
98,106,92,108,"2,62639681122615","4,82743171780177","1,35902190500181","5,19116499633199"
96,107,95,127,"2,18198075445478",5,"2,03008171141279",10
106,107,91,127,"4,7837498830307",5,"1,04567979065228",10
105,107,93,106,"4,38888013028104",5,"1,44786307600321","4,72655081687878"
115,107,97,94,"7,02047674896766",5,"2,57182636807592","1,84119844368911"
97,91,93,115,"2,45517238771109",1,"1,55171539276901","6,91568068729199"
106,107,94,105,"4,76049415131918",5,"1,69189873639248","4,42384888665571"
115,107,96,108,"6,96370771793099",5,"2,34093934218419","5,31010211813997"
110,103,95,105,"5,85661603783354","4,03073584052791","1,96437194130135","4,43933149650503"
119,107,94,114,"8,02800445741319",5,"1,68995142499833","6,63120408251274"
124,107,93,111,"9,18677094555769",5,"1,43710627366558","5,8940090980414"
92,107,94,111,"1,32454552066013",5,"1,6399577719202","6,11527493694769"
111,103,93,113,"6,09562372715962","3,93191675091753","1,56826950963213","6,62377814780057"
117,107,100,114,"7,50196575710602",5,"3,28462386854442","6,72473406235699"
111,102,109,110,"5,95800508017488","3,71369993350674","5,59756156835821","5,72256730146042"
102,106,101,105,"3,74525107994162","4,76231745655866","3,57730026912327","4,59406597247776"
95,107,92,116,"2,12465920004199",5,"1,30150311563964","7,33844203984697"
104,103,93,109,"4,25375800865459","4,0328754327784","1,52808953279482","5,47359893920148"
108,107,96,112,"5,3719404942886",5,"2,25710991627858","6,26550556683255"
105,91,91,113,"4,43595253813126","1,07984024312694","1,06971260813091","6,4264753456784"
119,107,101,112,"8,03302786419304",5,"3,61733150137919","6,32409887539787"
108,106,92,104,"5,2620216097376","4,70029142172721","1,19028411810262","4,31364156250051"
99,107,93,114,"2,95243021674978",5,"1,41047411376","6,79760505606523"
104,107,98,107,"4,17630098719753",5,"2,6542282588077","4,98493666434592"
96,101,92,108,"2,21012527851863","3,59077326866961","1,29127246709813","5,22454409562027"
94,107,102,106,"1,78678361152272",5,"3,71475853932699","4,63706365714729"
115,107,91,105,"7,07911538532553",5,"1,03755148497814","4,5291533568889"
98,106,91,108,"2,83421193368555","4,84496337267812","1,02494186903803","5,31147798284327"
104,97,103,115,"4,3443618196164","2,39453102168295","4,0378084468172","6,99709335647685"
124,107,94,110,"9,33710361657788",5,"1,75570940277231","5,65708358954207"
100,107,96,102,"3,25472114417487",5,"2,28788440750555","3,85104650205575"
94,107,91,121,"1,8534553046678",5,"1,10778153811559","8,55293172601678"
100,107,102,91,"3,25736597376219",5,"3,85232297737649",1
100,107,95,109,"3,30817786948215",5,"2,12272803025229","5,49383079489127"
118,95,92,108,"7,80419761876471","1,90656898867631","1,23757473300072","5,19506790033201"
111,107,93,124,"6,11087688255852",5,"1,51855903276611","9,31768281925074"
98,106,95,109,"2,87254376414171","4,6556184584028","1,93606327331982","5,4928574379323"
98,107,96,110,"2,72072608023026",5,"2,13397312892036","5,80856978359887"
92,107,91,109,"1,17090588404678",5,"1,08371077411546","5,47403063329248"
92,94,98,111,"1,18103769311243","1,76080941256068","2,85774795711387","5,9528150764373"
108,107,94,127,"5,15251368135807",5,"1,75288979339791",10
101,107,92,121,"3,55185138284111",5,"1,32709788645999","8,58333299144189"
109,107,95,91,"5,40799621652997",5,"1,95759300711608",1
126,96,113,108,"9,86944702221978","2,35462492615204","6,46140303696571","5,31456747387619"
114,107,99,111,"6,67774020914661",5,"3,09145214833645","5,96506544109786"
97,107,96,113,"2,39568910982481",5,"2,35252698779738","6,49857604794808"
127,104,92,109,"9,91745173450535","4,31559628262912","1,14745084120887","5,38082428884509"
104,107,93,105,"4,20797780664241",5,"1,57256747061257","4,50910066219931"
93,107,103,112,"1,55258488800069",5,"3,90711816233048","6,13789230295607"
106,101,92,110,"4,67408629843673","3,40226396252061","1,1288219989047","5,72063083068936"
126,107,100,108,"9,64388978861882",5,"3,13069271804638","5,32608732419114"
118,107,99,113,"7,86532131035771",5,"2,89489390662325","6,40880314132445"
101,106,96,91,"3,59485048780432","4,85893854489","2,20001784237591",1
123,107,92,127,"9,0188626200684",5,"1,33668027808856",10
98,107,92,111,"2,76239220438922",5,"1,13328814175638","6,06176679727659"
121,107,97,98,"8,44110797773536",5,"2,38500156956695","2,86215332784664"
106,107,92,111,"4,68060063789846",5,"1,28387041106674","5,90764313963737"
122,107,94,118,"8,67375903017983",5,"1,70204558258238","7,82314755672613"
125,103,92,108,"9,37823334930957","3,96872262980101","1,36208203729259","5,33310602272215"
98,106,97,104,"2,73484216477239","4,82498553551941","2,55836429954852","4,22118173769245"
120,107,98,102,"8,36151866445011",5,"2,66900861727694","3,7547865618808"
92,107,92,108,"1,30465987795124",5,"1,34925708949625","5,36181069676796"
94,107,94,93,"1,64421071651659",5,"1,7316819356564","1,58266582408525"
96,107,94,113,"2,36478337998692",5,"1,75039253209351","6,49302745592256"
112,91,91,107,"6,16133247633809",1,"1,06416126605348","5,00049783821523"
102,107,98,109,"3,69435723561149",5,"2,68834184421551","5,42863357751197"
125,95,93,110,"9,52913100507627","2,07686972671538","1,52539817477966","5,77767375226241"
93,107,94,99,"1,51981419228503",5,"1,71345719290812","2,98773599442752"
104,107,92,111,"4,36704803940088",5,"1,2997420813557","5,92678758874286"
97,107,94,111,"2,44038935787569",5,"1,6557068502754","5,92680549176671"
110,101,91,107,"5,76376572642784","3,51817249407055","1,00445872305628","5,06562671848447"
121,102,97,109,"8,420018814576","3,75600685358149","2,54523680629348","5,47729130381412"
99,106,101,104,"2,97850772472038","4,70578162728642","3,52286576336824","4,28806377864952"
100,102,107,91,"3,26131409954587","3,70829611907656","4,94155377403184",1
106,104,92,117,"4,78900132514367","4,34851113912332","1,16087652906208","7,44596072079729"
117,107,98,91,"7,61629619536871",5,"2,6741683631443",1
103,107,92,108,"3,8905715333853",5,"1,24547999337131","5,28130921419364"
121,107,92,119,"8,54580857222985",5,"1,13696621226278","7,97477969204314"
116,96,96,110,"7,26545294005538","2,28088574885613","2,23369272151291","5,82105219624919"
110,107,99,108,"5,64733940239431",5,"2,88467107140501","5,13856487656642"
96,107,94,106,"2,25887084790425",5,"1,62704120911353","4,67538809223228"
113,104,95,104,"6,56320631024064","4,33187136929483","1,90308134077388","4,13049854694857"
103,107,91,105,"4,00041927804853",5,"1,09723730659109","4,46359462115049"
92,107,91,120,"1,36472627052061",5,"1,09773591512894","8,31013724228054"
91,106,92,127,"1,10039313219632","4,66223568761553","1,19831967783826",10
104,107,94,106,"4,20429717953587",5,"1,64146081381225","4,66704345441701"
96,104,96,107,"2,20215409817662","4,23183769534581","2,15224352596538","4,9896948236972"
113,107,92,107,"6,39665512739243",5,"1,24222938681349","5,01932319768591"
100,107,92,106,"3,30504742886094","4,92292463553939","1,17468485588007","4,73041092240107"
100,107,96,107,"3,2786729687636",5,"2,19513988569769","4,88190561425959"
127,106,91,107,"9,89808639032099","4,82762410918069","1,12279620984085","5,01768379142551"
106,107,95,110,"4,6398408726205",5,"2,09894845003251","5,79390533024988"
120,107,91,106,"8,37177879127097",5,"1,05359526292209","4,86899901230849"
125,107,92,120,"9,47152359444381",5,"1,33748428014339","8,28364693883755"
95,106,104,105,"1,92365354986859","4,83358408147359","4,28024574140428","4,58100108864598"
118,91,110,103,"7,78261920794893",1,"5,75350393637216","3,95319303474762"
112,107,95,91,"6,37450743164808",5,"2,07315735171135",1
119,105,94,116,"8,08288565266953","4,45724522033917","1,67315432676804","7,24764961225816"
102,91,98,91,"3,6621557333482",1,"2,79271616900534",1
121,105,92,110,"8,52582766740156","4,54144149966479","1,37209937187026","5,64473299741101"
120,107,98,112,"8,34553190684092",5,"2,81834924709241","6,16151501708032"
115,107,95,101,"7,02875860666596",5,"2,08700573383655","3,56870565173923"
100,107,97,109,"3,32448589669204",5,"2,410632735228","5,46990876698665"
117,107,93,111,"7,4738772365821",5,"1,46024044498623","5,99630357937651"
105,107,92,100,"4,48977304313908",5,"1,20681568019564","3,17402686049914"
101,92,91,107,"3,49367448349583","1,2994811319153","1,08377165862039","5,09684040505676"
98,107,91,91,"2,72994023394781",5,"1,07380347109441",1
113,107,98,109,"6,6182729351206",5,"2,64739359457491","5,60384271924789"
127,107,96,99,"9,96522873173773",5,"2,21095366299999","2,89307575331756"
116,99,93,91,"7,19252879755659","3,07936827147745","1,43051469934654",1
113,107,98,107,"6,37746142908686",5,"2,80243877873238","4,87620567685502"
110,107,93,123,"5,81579702629985",5,"1,51927700341539","8,96180825956214"
112,104,91,106,"6,35135958910968","4,20810080783695","1,03642207061402","4,80409657567249"
105,107,94,109,"4,56239087773987",5,"1,73790904130352","5,46653403865776"
124,107,106,112,"9,2996853966158",5,"4,79020781268702","6,18632198561568"
105,107,91,102,"4,6217459772553",5,"1,10495715153269","3,65602421023849"
124,100,114,106,"9,17108209302388","3,12565534454016","6,71553814715091","4,72179719358703"
115,107,93,106,"6,93031968169004",5,"1,44305733039242","4,7752245182187"
96,103,95,113,"2,27083227071038","4,07331346704241","1,8885287475309","6,57908016652795"
122,107,95,111,"8,63633977201657",5,"1,9175624881276","6,0508383885683"
123,104,96,107,"9,10329463077995","4,31188207266074","2,27694011021742","4,89274222034191"
101,107,94,106,"3,6150997492686",5,"1,72926187757357","4,78352594356541"
99,107,93,108,"2,9480004029156",5,"1,49341138038553","5,27117687098594"
118,107,93,127,"7,75227959679992",5,"1,42174021805714",10
97,105,96,111,"2,59147742271079","4,56468253915211","2,35030262506195","5,99062182966649"
92,105,91,106,"1,31532619861899","4,41906171932918","1,09386109607331","4,70757673567986"
112,91,92,110,"6,17664337821446",1,"1,30567443596037","5,68616658120604"
105,107,92,109,"4,52663117854939",5,"1,1401878140396","5,59766450322883"
122,107,97,115,"8,79656084392164",5,"2,38768386797055","6,97771765102528"
123,107,92,107,"8,99994374447155",5,"1,2077941531255","5,05193181422037"
115,107,101,104,"7,00051184743636",5,"3,49057976054142","4,21055068501609"
94,105,93,127,"1,8749116156367","4,61182494653095","1,5212519492549",10
103,107,106,107,"3,88775974085011",5,"4,81208586026729","5,11300836895961"
104,107,101,108,"4,18375136357343",5,"3,47296027311797","5,14692666843682"
99,107,105,109,"2,91708737010834",5,"4,39428436728134","5,52705638896721"
97,107,100,126,"2,46626107665156",5,"3,32915484394575","9,83919145324004"
113,107,95,127,"6,52335930674714",5,"2,10626197122671",10
122,107,93,121,"8,70691600330074",5,"1,40995671284011","8,42543151360576"
107,100,94,113,"4,91582751108906","3,14789626757846","1,85709508174399","6,52822688499703"
96,107,95,108,"2,14837740456058",5,"1,93440407519506","5,21999215393023"
124,95,94,118,"9,16533777992137","2,01875915972502","1,7306836293753","7,7441452344736"
96,107,93,106,"2,14818309757976",5,"1,60928168272097","4,62543672945581"
119,97,95,121,"7,90570352281947","2,52956530835607","2,05623228142077","8,55259314405224"
117,102,95,109,"7,5229525289972","3,86796233387738","2,08365115897476","5,49491534623422"
119,107,100,105,"7,92313879577567",5,"3,34013653206789","4,527899703588"
113,104,91,110,"6,50812446479076","4,19480010693917","1,00927291785811","5,77745006199552"
121,107,100,109,"8,5430369444125",5,"3,27678152863382","5,50883977525679"
92,107,95,121,"1,17914311121512",5,"2,11672771707466","8,5456246061106"
127,96,92,105,"9,91042853998355","2,32584561158485","1,24589879488809","4,45768339594999"
102,107,100,113,"3,8034582330727",5,"3,21144440173388","6,56505973300426"
123,107,103,112,"8,89749464923894",5,"3,88538001186966","6,22620243466397"
121,107,93,118,"8,40157524932392",5,"1,51475249735415","7,68370203621374"
116,107,100,117,"7,33793061688646","4,88950571130836","3,16276338934228","7,46988995435221"
93,107,92,107,"1,50178748686451",5,"1,22530699621263","5,07736442353023"
101,103,101,108,"3,51756656515132","4,09160324397599","3,3886198099584","5,26117662147541"
115,107,98,111,"6,95433407612764",5,"2,72869323186228","5,8986903777561"
118,92,95,105,"7,68495223969132","1,31126425205671","1,96512550488776","4,46402079118917"
123,104,94,110,"8,96651424310976","4,34053834518615","1,72314076716688","5,84016338919655"
121,107,99,124,"8,53416614957481",5,"2,8799960633244","9,3577680294374"
111,107,101,108,"5,91991585847425",5,"3,4935675532661","5,35860965590108"
113,107,94,110,"6,39061571740572",5,"1,83116239215661","5,7062542199705"
106,101,92,91,"4,86052097256882","3,56526661553785","1,29961256033979",1
109,96,97,103,"5,39681900507581","2,13752797883925","2,54858279762929","4,1145088129385"
114,107,91,126,"6,78861303970846",5,"1,08794033971882","9,78956608337187"
95,107,94,123,"2,02844848301956",5,"1,80952802621024","8,89306570194671"
122,103,91,110,"8,69365947307315","3,88449924516233","1,05391626856661","5,64769066644204"
113,107,92,108,"6,43267635775982",5,"1,34567747195693","5,26939251294079"
111,107,92,108,"6,07169678882207",5,"1,22584080614268","5,27044708942846"
125,107,93,109,"9,57443486861295",5,"1,40951414359459","5,40337205413916"
104,104,98,118,"4,33815949818474","4,25543441337912","2,86693934879643","7,82598037147677"
121,106,98,109,"8,55326011287136","4,78654851074402","2,72798720941665","5,53895800665605"
104,107,92,97,"4,35865209427942",5,"1,28297792273308","2,55669396720864"
93,107,91,110,"1,43954588469704",5,"1,05182824469794","5,6315124439196"
115,104,91,93,"6,94644782157284","4,3417649184939","1,02150904337494","1,45795734407604"
94,107,99,110,"1,77307884289334",5,"2,90988305523279","5,73270641477581"
125,96,107,105,"9,48846748615714","2,34206963565987","5,08919278507151","4,5901973610033"
117,106,94,124,"7,51087131112549","4,68792197666942","1,75435058276746","9,2192427982436"
109,101,95,110,"5,40546153289205","3,52073251414984","2,10412991833137","5,77936212363327"
125,97,97,106,"9,54030385964683","2,52037729244556","2,5871154261203","4,7839958825278"
96,107,107,111,"2,28712993403418",5,"5,05146344780145","6,00891668856504"
102,104,96,115,"3,84693805949494","4,27184678155061","2,20834490511658","6,91735123333616"
124,100,100,106,"9,27613973162675","3,30277044742288","3,31006298620521","4,85343035915429"
96,94,94,102,"2,24079615482799","1,85649315016482","1,6768555414222","3,83653881180506"
107,107,98,110,"4,98411996707953",5,"2,68962222461121","5,76143129840627"
126,107,92,109,"9,82453345127514",5,"1,12859229235237","5,41545598889012"
100,107,91,109,"3,30581273575441",5,"1,1056730410887","5,38513485819893"
113,107,92,109,"6,57916189461108",5,"1,14351133692225","5,59212359686169"
103,101,92,127,"4,03990269797765","3,50468263223788","1,23326854504964",10
91,107,91,106,"1,05731526377091",5,"1,09895681564788","4,7712673567286"
92,102,96,111,"1,12719040423749","3,80208596523718","2,14423807516154","5,99116331241794"
123,106,96,91,"9,0816746744773","4,72787636693469","2,3586294915729",1
100,107,93,111,"3,19795525020715",5,"1,59687930684491","6,04536382630902"
96,101,93,91,"2,34545995285105","3,57325663619338","1,53347348171425",1
112,107,93,91,"6,20067771753254",5,"1,45220156546991",1
121,107,100,108,"8,37866102184062",5,"3,31412473333968","5,28984055262295"
104,96,94,107,"4,24721299199166","2,32283755413254","1,82408236207665","4,97166418400849"
113,107,103,127,"6,52626603891531",5,"4,03094204327892",10
105,96,95,122,"4,42754651959398","2,17662931568623","1,9192804451882","8,67214293320301"
96,107,100,119,"2,36799598531617",5,"3,12725583308606","7,92262482544608"
118,91,94,110,"7,64944689076286",1,"1,75114393545592","5,71012608718235"
111,107,92,108,"5,93175829234523",5,"1,32302179097734","5,35586675921011"
112,105,104,115,"6,2168388716486","4,46784102536344","4,19395266946514","6,98960692166104"
104,97,92,111,"4,23462639718008","2,61939123303227","1,30004815018613","6,0509855229926"
92,107,97,113,"1,13034646502674",5,"2,47435396897398","6,53887306240879"
112,97,97,109,"6,26693451354894","2,61578609873693","2,42783120097469","5,38482997917665"
116,101,95,103,"7,35539019162439","3,40315825493365","1,96092736998468","4,00740145472515"
97,107,91,108,"2,41714124839008",5,"1,08820634108504","5,31912683062206"
117,107,97,107,"7,5608793886126",5,"2,56488503266224","5,00609279013977"
113,97,102,107,"6,56576637335819","2,53408657319915","3,67313852895741","4,99447049800024"
120,105,93,122,"8,1489275974183","4,46920317123053","1,57021511205136","8,8377083550161"
112,107,91,109,"6,19458484161024",5,"1,0137106357988","5,60988184305571"
123,103,92,99,"8,89587230961734","3,98226696548491","1,37320800360302","3,07598887700233"
126,107,94,108,"9,68925160207302","4,88833128146218","1,72014480057582","5,25516288093638"
118,107,93,100,"7,87160240925636",5,"1,38992848238567","3,31685551729614"
120,107,94,108,"8,29228670301092",5,"1,84720497683319","5,34512695160133"
114,101,100,110,"6,70178797252966","3,50758670849526","3,25020576165922","5,80153740330088"
103,107,97,112,"3,8894814217474",5,"2,52567701956412","6,13747914617068"
121,106,99,106,"8,44772522304506","4,68255617890084","3,04180706070552","4,65677283693995"
119,107,92,108,"7,91891878005727",5,"1,31816057424795","5,14492226631223"
92,106,93,107,"1,20608458280297","4,79698826617264","1,39263346126874","4,97718302968272"
93,107,96,105,"1,54294991121812",5,"2,27684976423755","4,49177540071144"
117,107,91,113,"7,53831328303807",5,"1,07334727720382","6,4662180920177"
122,107,102,113,"8,78994981339541",5,"3,73230922687326","6,62477897923761"
112,107,94,98,"6,19825584983559",5,"1,80225481401508","2,80063705513943"
119,107,95,127,"7,96857495161353",5,"2,05375375078824",10
116,102,94,113,"7,22742438389165","3,85396552884533","1,79987862976748","6,45047268204822"
107,107,92,123,"4,9186279284586",5,"1,17417706932192","9,0857278676566"
113,107,95,127,"6,56921607266335",5,"2,09940648572109",10
105,107,97,119,"4,49202836665808",5,"2,50520387046362","7,9704222779375"
126,107,103,110,"9,63793851018492",5,"4,08555318390457","5,72839632918151"
102,107,93,107,"3,70457793127115",5,"1,6220439793858","5,1113301341325"
99,107,92,116,"2,98203506456226",5,"1,19892715360952","7,32532908421233"
113,107,92,107,"6,41125711573411",5,"1,28986123722209","4,92265059454904"
108,99,98,127,"5,18824502827685","3,06753902090497","2,6978465726903",10
98,107,95,108,"2,81568910362259",5,"1,98595859247252","5,27246106189836"
104,107,108,108,"4,19739117407594",5,"5,19785410261688","5,29978980786907"
118,107,97,114,"7,77140210669275",5,"2,45128879902764","6,76089920847183"
127,107,94,127,"9,98821399336918","4,94243803688683","1,79459078499445","9,92391745013751"
106,107,97,109,"4,82764977258649",5,"2,39223440239205","5,39126743513222"
120,107,94,114,"8,26072539474412",5,"1,76254759995093","6,80442791703096"
120,107,93,91,"8,14327278997224",5,"1,53785849577393",1
113,107,93,107,"6,56700000469747","4,93027330855141","1,4653190058354","4,9470771002567"
125,107,92,115,"9,48234695969316",5,"1,15317857564596","6,9757686813979"
102,107,92,112,"3,72207295435479",5,"1,3135240229541","6,29063522140762"
122,104,102,123,"8,81064963555509","4,24304215690605","3,68559044812346","9,03019981256033"
94,107,92,111,"1,83874532895725",5,"1,23264871435804","6,05437171752385"
110,107,94,112,"5,8657853744223",5,"1,76663233087853","6,32707382064314"
95,107,92,97,"1,94414890057621",5,"1,32010097943152","2,39310587909723"
106,107,97,122,"4,83156079665947",5,"2,40730472773071","8,73772357601053"
